flight_id,method,truth_source,ate_rmse_m,final_drift_percent,samples
payload_detection/x650/0.5kg/2_scenario,PX4 EKF local_position,vehicle_gps_position,0.1983393876398056,0.13704988863351916,1039
payload_detection/x650/0.5kg/3_scenario,IMU-only strapdown,vehicle_gps_position,151.84147196959157,442.12472373399913,1337
payload_detection/x650/0.5kg/3_scenario,PX4 EKF local_position,vehicle_gps_position,0.2715766551874734,0.3667279522817716,1337
payload_detection/x650/0.5kg/4_scenario,IMU-only strapdown,vehicle_gps_position,602.7531406162885,866.7487700876978,2290
payload_detection/x650/0.5kg/4_scenario,PX4 EKF local_position,vehicle_gps_position,0.14188945615163076,0.10463639958345121,2290
payload_detection/x650/0.5kg/5_scenario,IMU-only strapdown,vehicle_gps_position,107.29629153558173,223.684746591671,1231
payload_detection/x650/0.5kg/5_scenario,PX4 EKF local_position,vehicle_gps_position,0.1819540293754635,0.1407750661364207,1231
payload_detection/x650/1.5kg/1_scenario,IMU-only strapdown,vehicle_gps_position,45.834829576902834,86.95595508779716,1062
payload_detection/x650/1.5kg/1_scenario,PX4 EKF local_position,vehicle_gps_position,0.22190501003196153,0.25545848471649024,1061
payload_detection/x650/1.5kg/2_scenario,IMU-only strapdown,vehicle_gps_position,125.11707577053824,361.34764770832675,1286
payload_detection/x650/1.5kg/2_scenario,PX4 EKF local_position,vehicle_gps_position,0.1521022949653568,0.22365140311248027,1286
payload_detection/x650/1.5kg/3_scenario,IMU-only strapdown,vehicle_gps_position,312.4813732628195,385.8947310365668,1576
payload_detection/x650/1.5kg/3_scenario,PX4 EKF local_position,vehicle_gps_position,0.16563729656089146,0.10170958942779343,1576
payload_detection/x650/1.5kg/4_scenario,IMU-only strapdown,vehicle_gps_position,197.51842642005306,253.9452578689457,1535
payload_detection/x650/1.5kg/4_scenario,PX4 EKF local_position,vehicle_gps_position,0.17163278648405522,0.1909427571139287,1535
payload_detection/x650/1.5kg/5_scenario,IMU-only strapdown,vehicle_gps_position,225.12441364575156,474.8613194521532,1185
payload_detection/x650/1.5kg/5_scenario,PX4 EKF local_position,vehicle_gps_position,0.2281494098722073,0.36679366516609396,1185
payload_detection/x650/1kg/1_scenario,IMU-only strapdown,vehicle_gps_position,45.834829576902834,86.95595508779716,1062
payload_detection/x650/1kg/1_scenario,PX4 EKF local_position,vehicle_gps_position,0.22190501003196153,0.25545848471649024,1061
payload_detection/x650/1kg/2_scenario,IMU-only strapdown,vehicle_gps_position,207.33104440325832,600.5709976482239,1326
payload_detection/x650/1kg/2_scenario,PX4 EKF local_position,vehicle_gps_position,0.16525894191051757,0.1874042857367125,1326
payload_detection/x650/1kg/3_scenario,IMU-only strapdown,vehicle_gps_position,77.86578891540195,83.53660610919066,1355
payload_detection/x650/1kg/3_scenario,PX4 EKF local_position,vehicle_gps_position,0.19115942746410367,0.16303269137703524,1354
payload_detection/x650/1kg/4_scenario,IMU-only strapdown,vehicle_gps_position,189.80825866480185,176.65108881414932,1995
payload_detection/x650/1kg/4_scenario,PX4 EKF local_position,vehicle_gps_position,0.17693553589032954,0.09569016067757177,1995
payload_detection/x650/1kg/5_scenario,IMU-only strapdown,vehicle_gps_position,116.22874603359749,205.91378926998692,1439
payload_detection/x650/1kg/5_scenario,PX4 EKF local_position,vehicle_gps_position,0.19310274596750074,0.2694936698464771,1439
payload_detection/x650/2kg/1_scenario,IMU-only strapdown,vehicle_gps_position,45.834829576902834,86.95595508779716,1062
payload_detection/x650/2kg/1_scenario,PX4 EKF local_position,vehicle_gps_position,0.22190501003196153,0.25545848471649024,1061
payload_detection/x650/2kg/2_scenario,IMU-only strapdown,vehicle_gps_position,149.82609461450065,370.2754622685319,1280
payload_detection/x650/2kg/2_scenario,PX4 EKF local_position,vehicle_gps_position,0.199295151940111,0.24171918795381941,1279
payload_detection/x650/2kg/3_scenario,IMU-only strapdown,vehicle_gps_position,1296.4834350583453,2322.820267253881,1740
payload_detection/x650/2kg/3_scenario,PX4 EKF local_position,vehicle_gps_position,0.2997438132895227,0.40466356430195477,1740
payload_detection/x650/2kg/4_scenario,IMU-only strapdown,vehicle_gps_position,408.2039170269817,441.1366668271629,2552
payload_detection/x650/2kg/4_scenario,PX4 EKF local_position,vehicle_gps_position,0.15483923483863188,0.03510388487137013,2552
payload_detection/x650/2kg/5_scenario,IMU-only strapdown,vehicle_gps_position,352.95894678434803,668.262227700941,1631
payload_detection/x650/2kg/5_scenario,PX4 EKF local_position,vehicle_gps_position,0.20528746153996222,0.20177677212167014,1630
